Mittari;Aika;val
Tapausten lukumäärä;2020-07-26;8
Testausmäärä;2020-07-26;2285
Kuolemantapausten lukumäärä;2020-07-26;0
Tapausten lukumäärä;2020-07-27;12
Testausmäärä;2020-07-27;3403
Kuolemantapausten lukumäärä;2020-07-27;0
Tapausten lukumäärä;2020-07-28;9
Testausmäärä;2020-07-28;5743
Kuolemantapausten lukumäärä;2020-07-28;1
Tapausten lukumäärä;2020-07-29;12
Testausmäärä;2020-07-29;5539
Kuolemantapausten lukumäärä;2020-07-29;1
Tapausten lukumäärä;2020-07-30;8
Testausmäärä;2020-07-30;5635
Kuolemantapausten lukumäärä;2020-07-30;0
Tapausten lukumäärä;2020-07-31;18
Testausmäärä;2020-07-31;5555
Kuolemantapausten lukumäärä;2020-07-31;0
Tapausten lukumäärä;2020-08-01;15
Testausmäärä;2020-08-01;4198
Kuolemantapausten lukumäärä;2020-08-01;0
Tapausten lukumäärä;2020-08-02;10
Testausmäärä;2020-08-02;4568
Kuolemantapausten lukumäärä;2020-08-02;0
Tapausten lukumäärä;2020-08-03;35
Testausmäärä;2020-08-03;5250
Kuolemantapausten lukumäärä;2020-08-03;1
Tapausten lukumäärä;2020-08-04;22
Testausmäärä;2020-08-04;6819
Kuolemantapausten lukumäärä;2020-08-04;0
Tapausten lukumäärä;2020-08-05;29
Testausmäärä;2020-08-05;8536
Kuolemantapausten lukumäärä;2020-08-05;0
Tapausten lukumäärä;2020-08-06;22
Testausmäärä;2020-08-06;7097
Kuolemantapausten lukumäärä;2020-08-06;0
Tapausten lukumäärä;2020-08-07;17
Testausmäärä;2020-08-07;8815
Kuolemantapausten lukumäärä;2020-08-07;0
Tapausten lukumäärä;2020-08-08;9
Testausmäärä;2020-08-08;6327
Kuolemantapausten lukumäärä;2020-08-08;0
Tapausten lukumäärä;2020-08-09;35
Testausmäärä;2020-08-09;5942
Kuolemantapausten lukumäärä;2020-08-09;0
Tapausten lukumäärä;2020-08-10;15
Testausmäärä;2020-08-10;7260
Kuolemantapausten lukumäärä;2020-08-10;0
Tapausten lukumäärä;2020-08-11;28
Testausmäärä;2020-08-11;10638
Kuolemantapausten lukumäärä;2020-08-11;0
Tapausten lukumäärä;2020-08-12;27
Testausmäärä;2020-08-12;11597
Kuolemantapausten lukumäärä;2020-08-12;0
Tapausten lukumäärä;2020-08-13;21
Testausmäärä;2020-08-13;12107
Kuolemantapausten lukumäärä;2020-08-13;0
Tapausten lukumäärä;2020-08-14;27
Testausmäärä;2020-08-14;9621
Kuolemantapausten lukumäärä;2020-08-14;0
Tapausten lukumäärä;2020-08-15;14
Testausmäärä;2020-08-15;10354
Kuolemantapausten lukumäärä;2020-08-15;0
Tapausten lukumäärä;2020-08-16;43
Testausmäärä;2020-08-16;10958
Kuolemantapausten lukumäärä;2020-08-16;1
Tapausten lukumäärä;2020-08-17;27
Testausmäärä;2020-08-17;10919
Kuolemantapausten lukumäärä;2020-08-17;0
Tapausten lukumäärä;2020-08-18;39
Testausmäärä;2020-08-18;12879
Kuolemantapausten lukumäärä;2020-08-18;0
Tapausten lukumäärä;2020-08-19;47
Testausmäärä;2020-08-19;17142
Kuolemantapausten lukumäärä;2020-08-19;0
Tapausten lukumäärä;2020-08-20;27
Testausmäärä;2020-08-20;15969
Kuolemantapausten lukumäärä;2020-08-20;0
Tapausten lukumäärä;2020-08-21;25
Testausmäärä;2020-08-21;16150
Kuolemantapausten lukumäärä;2020-08-21;0
Tapausten lukumäärä;2020-08-22;16
Testausmäärä;2020-08-22;12831
Kuolemantapausten lukumäärä;2020-08-22;0
Tapausten lukumäärä;2020-08-23;11
Testausmäärä;2020-08-23;12725
Kuolemantapausten lukumäärä;2020-08-23;0
Tapausten lukumäärä;2020-08-24;17
Testausmäärä;2020-08-24;14506
Kuolemantapausten lukumäärä;2020-08-24;0
Tapausten lukumäärä;2020-08-25;15
Testausmäärä;2020-08-25;16150
Kuolemantapausten lukumäärä;2020-08-25;0
Tapausten lukumäärä;2020-08-26;20
Testausmäärä;2020-08-26;17490
Kuolemantapausten lukumäärä;2020-08-26;0
Tapausten lukumäärä;2020-08-27;32
Testausmäärä;2020-08-27;17326
Kuolemantapausten lukumäärä;2020-08-27;0
Tapausten lukumäärä;2020-08-28;35
Testausmäärä;2020-08-28;14166
Kuolemantapausten lukumäärä;2020-08-28;0
Tapausten lukumäärä;2020-08-29;19
Testausmäärä;2020-08-29;15175
Kuolemantapausten lukumäärä;2020-08-29;0
Tapausten lukumäärä;2020-08-30;18
Testausmäärä;2020-08-30;13341
Kuolemantapausten lukumäärä;2020-08-30;0
Tapausten lukumäärä;2020-08-31;48
Testausmäärä;2020-08-31;13116
Kuolemantapausten lukumäärä;2020-08-31;1
Tapausten lukumäärä;2020-09-01;29
Testausmäärä;2020-09-01;14797
Kuolemantapausten lukumäärä;2020-09-01;1
Tapausten lukumäärä;2020-09-02;26
Testausmäärä;2020-09-02;17899
Kuolemantapausten lukumäärä;2020-09-02;0
Tapausten lukumäärä;2020-09-03;36
Testausmäärä;2020-09-03;16872
Kuolemantapausten lukumäärä;2020-09-03;0
